"","balls","strikes","outs_when_up","inning","pitch_number","situation_score","pitch_score"
"1",1,1,2,9,3,6,1
"2",0,1,2,9,2,6,0
"3",0,0,2,9,1,6,0
"4",3,2,2,9,6,3,0
"5",3,1,2,9,5,3,1
"6",3,0,2,9,4,3,1
"7",2,0,2,9,3,3,1
"8",1,0,2,9,2,3,0
"9",0,0,2,9,1,3,0
"10",2,2,1,9,5,3,1
"11",1,2,1,9,4,3,0
"12",1,1,1,9,3,3,0
"13",1,0,1,9,2,3,0
"14",0,0,1,9,1,3,0
"15",2,1,1,9,4,0,0
"16",1,1,1,9,3,0,0
"17",0,1,1,9,2,0,0
"18",0,0,1,9,1,0,1
"19",3,2,0,9,6,0,1
"20",3,1,0,9,5,0,1
"21",2,1,0,9,4,0,1
"22",1,1,0,9,3,0,0
"23",1,0,0,9,2,0,1
"24",0,0,0,9,1,0,0
"25",1,0,2,9,2,0,1
"26",0,0,2,9,1,0,1
"27",0,2,1,9,4,0,0
"28",0,2,1,9,3,0,1
"29",0,1,1,9,2,0,1
"30",0,0,1,9,1,0,1
"31",1,2,1,9,4,3,1
"32",0,2,1,9,3,3,1
"33",0,1,1,9,2,3,1
"34",0,0,1,9,1,3,1
"35",2,2,1,9,5,1,1
"36",1,2,1,9,4,1,1
"37",0,2,1,9,3,1,1
"38",0,1,1,9,2,1,1
"39",0,0,1,9,1,1,1
"40",3,2,0,9,6,1,1
"41",3,1,0,9,5,1,1
"42",2,1,0,9,4,1,0
"43",1,1,0,9,3,1,1
"44",0,1,0,9,2,1,1
"45",0,0,0,9,1,1,1
"46",0,2,0,9,3,0,1
"47",1,2,2,9,4,5,1
"48",0,2,2,9,3,5,0
"49",0,1,0,9,2,0,1
"50",0,0,0,9,1,0,0
"51",0,1,2,9,2,5,1
"52",0,0,2,9,1,4,0
"53",1,2,2,8,4,1,0
"54",2,0,2,9,3,1,1
"55",1,1,2,8,3,1,0
"56",1,0,2,8,2,1,0
"57",1,0,2,9,2,1,0
"58",0,0,2,8,1,1,1
"59",0,0,2,9,1,1,0
"60",1,0,1,8,2,1,1
"61",0,1,2,9,2,2,1
"62",0,0,2,9,1,2,1
"63",0,0,1,8,1,1,1
"64",2,1,2,9,4,3,1
"65",3,1,1,8,5,0,0
"66",1,1,2,9,3,3,1
"67",0,0,2,9,1,0,1
"68",2,1,1,8,4,0,1
"69",0,0,1,9,1,0,1
"70",0,1,2,9,2,3,1
"71",1,1,1,8,3,0,1
"72",0,0,2,9,1,3,1
"73",3,2,0,9,7,0,1
"74",1,2,1,9,4,3,1
"75",0,1,1,8,2,0,0
"76",2,2,0,9,6,0,1
"77",1,1,1,9,3,3,1
"78",0,0,1,8,1,0,0
"79",2,2,0,9,5,0,0
"80",0,2,1,8,3,1,1
"81",1,2,0,9,4,0,0
"82",0,1,1,9,2,3,0
"83",1,1,0,9,3,0,1
"84",0,0,1,9,1,3,1
"85",0,1,1,8,2,1,1
"86",2,2,0,9,5,6,1
"87",0,0,1,8,1,1,1
"88",0,1,0,9,2,0,1
"89",1,2,0,9,4,6,1
"90",0,0,0,8,1,1,1
"91",0,0,0,9,1,0,1
"92",2,2,2,9,5,6,0
"93",1,1,0,9,3,6,1
"94",3,2,0,8,7,0,0
"95",0,1,0,9,2,6,1
"96",2,2,0,8,6,0,0
"97",1,2,2,9,4,6,0
"98",2,2,0,8,5,0,0
"99",0,2,2,9,3,6,1
"100",0,0,0,9,1,6,1
"101",2,1,0,9,4,3,1
"102",1,2,0,8,4,0,1
"103",0,1,2,9,2,6,0
"104",1,1,0,8,3,0,0
"105",0,0,2,9,1,6,0
"106",1,1,0,9,3,3,1
"107",1,0,0,8,2,0,0
"108",1,0,1,9,2,6,1
"109",0,1,0,9,2,3,0
"110",0,0,0,9,1,3,0
"111",0,0,0,8,1,0,0
"112",0,0,1,9,1,6,0
"113",1,1,2,8,3,6,1
"114",2,1,0,9,4,1,1
"115",3,2,1,9,8,5,1
"116",1,1,0,9,3,1,0
"117",1,0,2,8,2,6,1
"118",2,2,1,9,7,5,1
"119",0,1,0,9,2,1,0
"120",2,2,1,9,6,5,1
"121",0,0,2,8,1,6,1
"122",2,1,1,8,4,6,1
"123",0,0,0,9,1,1,0
"124",2,2,1,9,5,5,0
"125",2,0,1,8,3,6,1
"126",1,0,0,9,2,0,1
"127",2,1,1,9,4,5,1
"128",1,1,1,9,3,3,1
"129",1,0,1,8,2,6,1
"130",0,0,0,9,1,0,0
"131",0,1,1,9,2,3,1
"132",0,0,1,8,1,6,1
"133",0,2,2,8,3,6,0
"134",0,0,1,9,1,3,1
"135",0,1,2,8,2,6,0
"136",3,2,1,8,7,3,0
"137",3,2,1,9,7,2,1
"138",2,2,1,8,6,3,1
"139",0,0,2,8,1,6,0
"140",2,2,2,8,5,3,0
"141",2,2,1,8,5,3,1
"142",3,2,1,9,6,2,0
"143",1,2,1,8,4,3,1
"144",1,2,2,8,4,3,1
"145",3,1,1,9,5,2,0
"146",1,1,2,8,3,3,0
"147",2,1,1,9,4,1,1
"148",0,2,1,8,3,3,1
"149",0,1,1,8,2,3,1
"150",1,1,1,9,3,1,1
"151",0,1,2,8,2,3,1
"152",0,0,2,8,1,3,0
"153",0,0,1,8,1,3,0
"154",1,0,1,9,2,1,1
"155",0,0,1,9,1,1,1
"156",0,0,1,8,1,1,1
"157",3,2,2,8,8,2,1
"158",0,0,1,9,1,0,1
"159",1,2,0,8,4,1,1
"160",3,2,2,8,7,2,0
"161",3,2,2,8,6,2,0
"162",1,0,0,9,2,3,0
"163",1,1,0,8,3,1,0
"164",2,2,2,8,5,1,1
"165",0,0,0,9,1,3,0
"166",1,0,0,8,2,1,0
"167",3,1,0,9,5,0,1
"168",0,0,0,8,1,1,1
"169",1,2,2,8,4,1,1
"170",2,1,0,9,4,0,0
"171",2,0,0,8,3,0,1
"172",1,1,2,8,3,1,0
"173",0,1,2,8,2,1,1
"174",1,0,0,8,2,0,1
"175",1,1,0,9,3,0,0
"176",0,0,2,8,1,1,1
"177",0,1,0,9,2,0,0
"178",0,0,0,8,1,0,0
"179",0,1,1,8,2,1,1
"180",0,0,0,9,1,0,1
"181",1,2,2,7,5,3,1
"182",0,2,2,7,4,3,1
"183",1,2,2,8,4,3,1
"184",0,0,1,8,1,1,0
"185",2,1,1,8,4,0,0
"186",0,2,2,7,3,3,1
"187",0,2,2,8,3,3,0
"188",0,1,2,8,2,3,0
"189",1,1,1,8,3,0,1
"190",0,1,2,7,2,3,1
"191",0,0,2,7,1,3,1
"192",0,0,2,8,1,3,0
"193",0,1,1,8,2,0,1
"194",0,0,1,8,1,0,1
"195",2,2,0,8,5,3,0
"196",0,2,2,7,3,1,1
"197",0,0,0,8,1,0,0
"198",2,1,0,8,4,3,1
"199",0,1,2,7,2,1,1
"200",1,1,0,8,3,3,1
"201",0,0,2,7,1,1,1
"202",1,2,2,8,4,1,1
"203",2,2,1,7,5,1,1
"204",0,1,0,8,2,3,1
"205",1,1,2,8,3,1,0
"206",2,1,1,7,4,1,1
"207",1,0,2,8,2,1,1
"208",0,0,0,8,1,3,1
"209",2,2,0,8,5,3,1
"210",0,0,2,8,1,1,1
